datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 05:57:00,Cathedral City,Desert princess country club,W. Chimayo,condo,3.0,2.0,1285.0,1950,https://palmsprings.craigslist.org/apa/d/cathedral-city-desert-princess-country/7179314161.html
2020-08-21 05:49:00,Baristo Neighborhood Of Palm Springs Ca,Palm Springs  ~  2 Bedroom / 2 Bathroom ~  Available NOW!,311-341 South Sunrise Way,apartment,2.0,2.0,888.0,1600,https://palmsprings.craigslist.org/apa/d/palm-springs-palm-springs-2-bedroom-2/7176401950.html
2020-08-21 03:53:00,"Palm Springs, Ca",gorgeous mountain views from the balcony,5205 E WAVERLY Dr,condo,2.0,2.5,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-gorgeous-mountain-views/7181387262.html
2020-08-20 17:12:00,Indio,There's no place like home at Watercrest at the Polo Field!,46746 monroe st,apartment,1.0,1.0,745.0,1380,https://palmsprings.craigslist.org/apa/d/indio-theres-no-place-like-home-at/7181258782.html
2020-08-20 16:44:00,Blythe,BOATING ON THE COLORADO RIVER,2637 Colorado River Road near 6th,house,3.0,3.0,2100.0,2000,https://palmsprings.craigslist.org/apa/d/blythe-boating-on-the-colorado-river/7173684212.html
2020-08-20 15:44:00,Palm Desert,"First Floor - Washer/Dryer, Garage & Plank Flooring @ The Enclave",35751 Gateway Drive,apartment,1.0,1.0,887.0,1685,https://palmsprings.craigslist.org/apa/d/rancho-mirage-first-floor-washer-dryer/7179121355.html
2020-08-20 15:15:00,La Quinta,Large 2 Bedroom 2 Bath 2 Story Townhouse La Quinta,51080 Eisenhower Drive near Calle Tampico,apartment,2.0,1.5,,1350,https://palmsprings.craigslist.org/apa/d/la-quinta-large-2-bedroom-2-bath-2/7165323369.html
2020-08-20 14:57:00,Indio,"Beautiful 1 Bed / 1 Bath Layout, Tons of Light. Call for a Tour!",46745 MONROE ST,apartment,1.0,1.0,745.0,1440,https://palmsprings.craigslist.org/apa/d/indio-beautiful-1-bed-1-bath-layout/7181187552.html
2020-08-20 13:23:00,Palm Springs,Enhance your lifestyle at 29hundred Apartments!,2900 East Ramon Road - 25 near Compadre,apartment,2.0,1.0,,1475,https://palmsprings.craigslist.org/apa/d/palm-springs-enhance-your-lifestyle-at/7171597308.html
2020-08-20 13:11:00,Palm Desert,Exceptional Family Home,43175 Texas Avenue,house,3.0,2.0,1526.0,1785,https://palmsprings.craigslist.org/apa/d/palm-desert-exceptional-family-home/7181117396.html
2020-08-20 12:55:00,Palm Springs,1 Bedroom - Fully Remodeled! Don't Miss It,2900 E Ramon Road near Compadre,apartment,1.0,1.0,,1250,https://palmsprings.craigslist.org/apa/d/palm-springs-1-bedroom-fully-remodeled/7172693065.html
2020-08-20 11:07:00,Palm Springs,Se Renta Lindo Condominio Amueblado,N. Los Felices Cir. W,condo,1.0,1.0,,1200,https://palmsprings.craigslist.org/apa/d/palm-springs-se-renta-lindo-condominio/7174852587.html
2020-08-20 10:45:00,Palm Springs,>>>>> Spacious Studio for only $950 a month<<<<<,1400 E. Palm Canyon Dr. near Sagebrush,apartment,0.0,1.0,600.0,950,https://palmsprings.craigslist.org/apa/d/palm-springs-spacious-studio-for-only/7181010741.html
2020-08-20 10:28:00,Palm Desert,Exclusive neighborhood! * Luxury Apartment * 3 Beds | 3 Baths * UNIQUE,45900 Ca 74,apartment,3.0,3.0,,2500,https://palmsprings.craigslist.org/apa/d/palm-desert-exclusive-neighborhood/7180984061.html
2020-08-20 07:52:00,Sky Valley,Cute Tiny House in Luxury Mobile Home Resort,74711 Dillon Road,other,1.0,1.0,600.0,1500,https://palmsprings.craigslist.org/apa/d/indio-cute-tiny-house-in-luxury-mobile/7178891868.html
2020-08-20 07:50:00,Palm Springs,"Excellent Warm Sands Location, Mid-Century  One Bedroom",546 S. Camino Real near Ramon,apartment,1.0,1.0,,1295,https://palmsprings.craigslist.org/apa/d/palm-springs-excellent-warm-sands/7180876809.html
2020-08-20 07:46:00,Palm Desert,Gorgeous Condo Available Now!,41420 Inverness Way,condo,2.0,2.0,,2500,https://palmsprings.craigslist.org/apa/d/palm-desert-gorgeous-condo-available-now/7180874029.html
2020-08-19 14:32:00,Palm Desert,Everything You Need. All Right Here. Including Free RENT!,Sandy Gale Ln. near Washington St.,condo,2.0,2.0,,1650,https://palmsprings.craigslist.org/apa/d/palm-desert-everything-you-need-all/7180529131.html
2020-08-19 14:22:00,Cathedral City,REMODELED LARGE 2 BEDROOM IN CATHEDRAL CITY CLOSE TO 111,68640,apartment,2.0,1.0,,1350,https://palmsprings.craigslist.org/apa/d/cathedral-city-remodeled-large-2/7177545657.html
2020-08-19 14:20:00,Palm Desert,PALM DESERT - LARGE REMODELED 2 BEDROOM APARTMENT HOME,74402 Abronia Tr,apartment,2.0,1.0,,1395,https://palmsprings.craigslist.org/apa/d/palm-desert-palm-desert-large-remodeled/7168109456.html
2020-08-19 14:18:00,Yucca Valley,1 Bedroom 1 Bathroom in Yucca Valley for Rent $600-Spacious Apartment,56081 Twentynine Palms Hwy #4,apartment,1.0,1.0,700.0,600,https://palmsprings.craigslist.org/apa/d/yucca-valley-1-bedroom-1-bathroom-in/7180534106.html
2020-08-19 13:42:00,Palm Springs,Renovated Large One Bedroom Aparment,1711 E Amado Road near Sunrise and Amado,apartment,1.0,1.0,750.0,1200,https://palmsprings.craigslist.org/apa/d/palm-springs-renovated-large-one/7180501358.html
2020-08-19 13:28:00,Indio,$200 OFF MOVE IN! COME SEE THIS GORGEOUS 1 BEDROOM REMODELED UNIT!,46745 Monroe St near Dr. Carreon,apartment,1.0,1.0,1015.0,1440,https://palmsprings.craigslist.org/apa/d/indio-200-off-move-in-come-see-this/7180500448.html
2020-08-19 12:32:00,Palm Springs,$1250 / 1br - 1 Bedroom - Fully Remodeled!,2900 E. Ramon Road near Compadre,apartment,1.0,1.0,,1250,https://palmsprings.craigslist.org/apa/d/palm-springs-br-1-bedroom-fully/7175052889.html
2020-08-19 12:24:00,Palm Springs,Newly Renovated 1 Bedroom Excellent Location,1333 S. Belardo Road near Morongo Road,apartment,1.0,1.0,687.0,1470,https://palmsprings.craigslist.org/apa/d/palm-springs-newly-renovated-1-bedroom/7180456021.html
2020-08-19 12:12:00,La Quinta,Won't Last Long-2 Bd 2 Ba-Uptstairs-W/D-Garage,50660 Eisenhower Dr.,apartment,2.0,2.0,450.0,1410,https://palmsprings.craigslist.org/apa/d/la-quinta-wont-last-long-2-bd-2-ba/7180437544.html
2020-08-19 11:51:00,Sunrise Park Neighborhood,"2 Bedrooms 2 Bath Apartment in Palm Springs, CA",2300 E. Tahquitz Canyon Way,apartment,2.0,2.0,954.0,1575,https://palmsprings.craigslist.org/apa/d/palm-springs-2-bedrooms-2-bath/7180430862.html
2020-08-19 11:09:00,Indio,$875 Junior Suite,Arabia near Garden,apartment,1.0,1.0,500.0,875,https://palmsprings.craigslist.org/apa/d/indio-875-junior-suite/7163022982.html
2020-08-19 09:06:00,Cathedral City,MOVE IN SPECIAL!!! Remodeled 1bdrm w/  Pool - Cathedral City,68365 Tahquitz,apartment,1.0,1.0,,1195,https://palmsprings.craigslist.org/apa/d/cathedral-city-move-in-special/7166948429.html
2020-08-19 08:14:00,Cathedral City,Renovated large 2-Bed/2Bath in Vacation Style Community,69150 Gerald Ford Dr. near Date Palm Drive,apartment,2.0,2.0,1000.0,1500,https://palmsprings.craigslist.org/apa/d/cathedral-city-renovated-large-2-bed/7172171468.html
2020-08-19 02:09:00,Banning,Stunning 365 degree views for this beautiful single level home!,5120 Breckenridge Ave near Banning,house,2.0,3.0,2133.0,1650,https://palmsprings.craigslist.org/apa/d/beaumont-stunning-365-degree-views-for/7180132691.html
2020-08-18 22:51:00,Desert Hot Springs,"3br., 2ba., Home For The Executive",Oakmount Blvd. near Hoylake,house,3.0,2.0,1692.0,1895,https://palmsprings.craigslist.org/apa/d/desert-hot-springs-3br-2ba-home-for-the/7178080649.html
2020-08-18 21:37:00,Palm Springs,$1400 One Bedroom Apt. for rent,Highland Dr. near Ramon Road,apartment,1.0,1.0,,1400,https://palmsprings.craigslist.org/apa/d/palm-springs-1400-one-bedroom-apt-for/7180096780.html
2020-08-18 14:55:00,Rancho Mirage,LOWEST PRICED HOME IN RANCHO MIRAGE!!!!,34001 EMILY DR,condo,2.0,2.0,1000.0,1700,https://palmsprings.craigslist.org/apa/d/cathedral-city-lowest-priced-home-in/7179933434.html
2020-08-18 14:53:00,Palm Desert Greens Country Club,"Gated Active 55+ Country Club, Palm Desert Greens, 3BD 2BA",39140 Manzanita Dr near East Palm Desert Greens,other,3.0,2.0,1440.0,1500,https://palmsprings.craigslist.org/apa/d/rancho-mirage-gated-active-55-country/7179931991.html
2020-08-18 14:49:00,South Palm Desert,Super Cute 1+1 Available  Walking Distance to El Paseo,tumbleweed near Ocotillo,apartment,1.0,1.0,,1000,https://palmsprings.craigslist.org/apa/d/palm-desert-super-cute-11-available/7179929568.html
2020-08-18 14:42:00,Rancho Mirage,JUST LISTED! Nicely Remodeled 3 Bedroom 3 Bath Home in Rancho Mirage!,Doheney near Country Club,condo,3.0,3.0,1992.0,2199,https://palmsprings.craigslist.org/apa/d/rancho-mirage-just-listed-nicely/7176123689.html
2020-08-18 14:42:00,Palm Desert,Beautiful 2 bed/2 bath upgraded one level Villa located in Palm Lakes,Cook St near Fred Waring,condo,2.0,2.0,1005.0,1749,https://palmsprings.craigslist.org/apa/d/palm-desert-beautiful-2-bed-2-bath/7164190752.html
2020-08-18 14:41:00,South Palm Desert,LOWEST PRICED HOME IN SOUTH PALM DESERT!!!!,72502 EDGEHILL,condo,2.0,1.0,850.0,1395,https://palmsprings.craigslist.org/apa/d/palm-desert-lowest-priced-home-in-south/7179924343.html
2020-08-18 11:58:00,Palm Springs,$500 OFF MI One Bedroom 2 Story Loft Town House Down Town Palm Springs,449 East Arenas Road near So. Calle Encilia,apartment,1.0,1.0,687.0,1550,https://palmsprings.craigslist.org/apa/d/palm-springs-500-off-mi-one-bedroom-2/7179809960.html
2020-08-18 10:36:00,Palm Springs,$1550 Close To Parking 1 Bedroom With 1 Bathroom Uptown Palm Springs,783 N Indian Canyon Drive near Tamarisk / North Indian Canyon Drive,apartment,1.0,1.0,680.0,1550,https://palmsprings.craigslist.org/apa/d/palm-springs-1550-close-to-parking-1/7176150815.html
2020-08-18 08:10:00,Cathedral City,Presidio Park Apartments... Like being on Vacation at home!,69150 Gerald Ford Dr Date Palm near Date Palm,apartment,2.0,2.0,1000.0,1500,https://palmsprings.craigslist.org/apa/d/cathedral-city-presidio-park-apartments/7176925598.html
2020-08-17 13:24:00,Sunrise Park Neighborhood,Two Bedroom Two Bath Sage Courtyard,2300 E. Tahquitz Canyon Way near Farrell,apartment,2.0,2.0,954.0,1575,https://palmsprings.craigslist.org/apa/d/palm-springs-two-bedroom-two-bath-sage/7179238415.html
2020-08-17 12:26:00,Indio,Welcome to your New Home: Smoketree Apartments!,Avenue 48 near Monroe,apartment,2.0,2.0,900.0,1485,https://palmsprings.craigslist.org/apa/d/indio-welcome-to-your-new-home/7179196953.html
2020-08-17 12:16:00,Indio,Beautiful southerly mountain & golf course views,80517 Dunbar Dr near Indio,house,3.0,3.0,1884.0,2600,https://palmsprings.craigslist.org/apa/d/indio-beautiful-southerly-mountain-golf/7168903767.html
2020-08-17 11:24:00,La Quinta,Downstairs two bedroom coming soon~ includes garage~,50660 Eisenhower Dr,apartment,2.0,2.0,889.0,1420,https://palmsprings.craigslist.org/apa/d/la-quinta-downstairs-two-bedroom-coming/7179141093.html
2020-08-17 10:37:00,Indio,Welcome to Smoketree Polo Club Apartments!,Monroe near Avenue 48,apartment,2.0,2.0,900.0,1445,https://palmsprings.craigslist.org/apa/d/indio-welcome-to-smoketree-polo-club/7179113473.html
2020-08-17 10:12:00,Rancho Mirage,QUALITY LIVING/LOCATION/COMMUNITY,70210 Hwy 111 near Peterson,other,2.0,1.0,,1395,https://palmsprings.craigslist.org/apa/d/rancho-mirage-quality-living-location/7162976432.html
2020-08-17 07:55:00,La Quinta,Lovely 3 Bedroom 2 Bathroom Home near LQ Schools,45510 Sun Brook Lane near Woodberry,house,3.0,2.0,1489.0,1900,https://palmsprings.craigslist.org/apa/d/la-quinta-lovely-3-bedroom-2-bathroom/7168284779.html
2020-08-17 07:51:00,Palm Springs,Furnished Studio - Only 2 Month Minimum No Credit Check!,1400 E. Tahquitz Canyon Way,apartment,0.0,1.0,,1680,https://palmsprings.craigslist.org/apa/d/palm-springs-furnished-studio-only-2/7178974317.html
2020-08-16 23:55:00,Cathedral City,FURNISHED 2 BDRM / 2 BA CONDO AVAILABLE SEPT 1ST - NOV 28TH,Cathedral Canyon Dr near Perez Rd,condo,2.0,2.0,1384.0,2300,https://palmsprings.craigslist.org/apa/d/cathedral-city-furnished-2-bdrm-2-ba/7174837929.html
2020-08-16 20:00:00,S. Palm Desert - Near El Paseo,Location!! Views!! Remodeled!!,Ironwood near San Luis Rey,condo,3.0,2.0,1690.0,4000,https://palmsprings.craigslist.org/apa/d/palm-desert-location-views-remodeled/7178802791.html
2020-08-16 16:10:00,Thousand Palms,2 bedroom 2 bath home on golf course,33-130 Laura Dr near Barcelona Dr,house,2.0,2.0,1440.0,1400,https://palmsprings.craigslist.org/apa/d/thousand-palms-2-bedroom-2-bath-home-on/7178711556.html
2020-08-16 14:53:00,Yucca Valley,Charming & Unique Ranch House,Inca Trail near Onaga Trail,house,2.0,1.0,,1450,https://palmsprings.craigslist.org/apa/d/yucca-valley-charming-unique-ranch-house/7178671344.html
2020-08-16 13:29:00,Rancho Mirage,4 bedroom 3 bath pool with boat parking,71606 Mirage rd,house,4.0,3.0,2700.0,3900,https://palmsprings.craigslist.org/apa/d/palm-desert-4-bedroom-3-bath-pool-with/7178621216.html
2020-08-16 12:50:00,Palm Desert,Upscale New Condo,Retreat Circle near Portola,condo,2.0,3.0,2188.0,3650,https://palmsprings.craigslist.org/apa/d/palm-desert-upscale-new-condo/7178592457.html
2020-08-16 10:59:00,Old Town La Quinta,Embassy Suites Owner Unit Furnished,Calle Tampico near Desert Club,condo,1.0,1.0,680.0,2200,https://palmsprings.craigslist.org/apa/d/la-quinta-embassy-suites-owner-unit/7170725589.html
2020-08-16 10:00:00,Palm Desert,A BEAUTIFUL WELL FURNISHED 3BD FOR SALE,75245 Vista Corona,apartment,3.0,2.0,1184.0,950,https://palmsprings.craigslist.org/apa/d/palm-desert-beautiful-well-furnished/7178480408.html
2020-08-15 19:09:00,Los Angeles,PALM SPRINGS CONDO IN GREAT LOCATION!,2875 N. Los Felices Road near San Rafael,condo,1.0,1.0,589.0,975,https://palmsprings.craigslist.org/apa/d/palm-springs-palm-springs-condo-in/7178243006.html
2020-08-15 17:20:00,Cathedral City,"Great home, great yard, great neighborhood",Fortuna near Los Gatos,house,3.0,2.0,1900.0,2100,https://palmsprings.craigslist.org/apa/d/cathedral-city-great-home-great-yard/7178202682.html
2020-08-15 16:31:00,Palm Desert,2bed/1bath,72586 Edgehill Drive #4,condo,2.0,1.0,926.0,1550,https://palmsprings.craigslist.org/apa/d/palm-desert-2bed-1bath/7175504414.html
2020-08-15 16:23:00,Temecula,Welcome Home!  Call to Schedule an Appointment to Tour!  Apply Online!,31901 Campanula Way near Meadows Parkway,apartment,3.0,2.5,1490.0,2938,https://palmsprings.craigslist.org/apa/d/temecula-welcome-home-call-to-schedule/7178177688.html
2020-08-15 14:36:00,Palm Springs,Biltmore 111,Camino real near Indian canyon,apartment,2.0,2.0,950.0,2200,https://palmsprings.craigslist.org/apa/d/palm-springs-biltmore-111/7178120634.html
2020-08-15 11:53:00,29 Palms,2 +1 Duplex shared 3 Acr Lot ***FREE WIFI***,Two Mile Road near Lear,house,2.0,1.0,,775,https://palmsprings.craigslist.org/apa/d/twentynine-palms-2-1-duplex-shared-3/7178012553.html
2020-08-14 15:33:00,Palm Desert,Luxury Townhouse+Unbeatable Location. Minutes From Down Town!,40890 Sandy Gale Ln. near Washington St.,house,2.0,1.5,,1620,https://palmsprings.craigslist.org/apa/d/palm-desert-luxury-townhouseunbeatable/7177551433.html
2020-08-14 13:24:00,Palm Desert,SPACIOUS REMODELED 2 BEDROOM 1 BATH APARTMENT HOME PALM DESERT,74402 Abronia Trl,apartment,2.0,1.0,,1395,https://palmsprings.craigslist.org/apa/d/palm-desert-spacious-remodeled-2/7160601515.html
2020-08-14 07:45:00,Cathedral City,1 Bedroom 1 Bath With Pool - Cathedral City Courtyard,37156 Palo Verde Drive,apartment,1.0,1.0,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-1-bedroom-1-bath-with/7159997568.html
2020-08-13 23:53:00,Palm Desert,Furnished Condo South Palm Desert Gated Community,47700 Desert Sage Court near Portola,house,2.0,2.0,1250.0,1795,https://palmsprings.craigslist.org/apa/d/palm-desert-furnished-condo-south-palm/7177103121.html
2020-08-13 14:01:00,Palm Springs,"Furnished Studios- Free Utilities, Cable TV & Wifi",1400 E Tahquitz Canyon Way,apartment,0.0,1.0,,1680,https://palmsprings.craigslist.org/apa/d/palm-springs-furnished-studios-free/7176886582.html
2020-08-13 13:07:00,Indio,Highly sought-after Canterra Model.,81657 Avenida De Baile near Indio,house,2.0,2.0,1257.0,1650,https://palmsprings.craigslist.org/apa/d/indio-highly-sought-after-canterra-model/7160203316.html
2020-08-13 13:07:00,Indio,Welcome to Kingsboro Lane,82782 Kingsboro Ln near Indio,house,2.0,2.0,1623.0,1450,https://palmsprings.craigslist.org/apa/d/indio-welcome-to-kingsboro-lane/7172350907.html
2020-08-13 09:58:00,Palm Desert,Updated Home with Nanny Suite/Pool near El Paseo,74225 candlewood,house,4.0,3.0,2600.0,3500,https://palmsprings.craigslist.org/apa/d/palm-desert-updated-home-with-nanny/7176709042.html
2020-08-13 07:25:00,Cathedral City,Cathedral City Courtyard 1 Bedroom With Pool and A/C,37156 Palo Verde Dr. near Kings Road,apartment,1.0,1.0,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-cathedral-city-courtyard/7159203003.html
2020-08-13 07:25:00,Cathedral City,1 Bed 1 Bath With Pool Near Hwy 111 and Palm Drive,37112 Palo Verde Dr. near Kings Road,apartment,1.0,1.0,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-1-bed-1-bath-with-pool/7159200905.html
2020-08-12 13:29:00,Cathedral City,1 Bedroom Apartment WITH POOL & A/C For Rent In Cathedral City,37112 Palo Verde Drive near Tahquitz Road,apartment,1.0,1.0,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-1-bedroom-apartment-with/7158804485.html
2020-08-12 08:37:00,Cathedral City,Cathedral City Courtyard 1 Bedroom 1 Bath With Pool,37112 Palo Verde Drive near Palm Canyon,apartment,1.0,1.0,,1150,https://palmsprings.craigslist.org/apa/d/cathedral-city-cathedral-city-courtyard/7158719502.html
2020-08-12 08:36:00,La Quinta,Large 2 Bedroom 2 Bath Townhome in La Quinta,51080 Eisenhower Drive,apartment,2.0,2.0,,1395,https://palmsprings.craigslist.org/apa/d/la-quinta-large-2-bedroom-2-bath/7158699781.html
2020-08-12 06:58:00,Palm Desert,"2 bed, 2 bath, on golf course",country club near monterey ave,house,2.0,2.0,1350.0,1900,https://palmsprings.craigslist.org/apa/d/palm-desert-2-bed-2-bath-on-golf-course/7175967343.html
2020-08-11 16:57:00,Palm Springs,**Beautiful and Spacious 2 bedroom 2 bath Apartment Avail. 09/15/2020,"1400, E. Palm Canyon Dr. OFC near Sagebrush",apartment,2.0,2.0,1000.0,1350,https://palmsprings.craigslist.org/apa/d/palm-springs-beautiful-and-spacious-2/7175754957.html
2020-08-11 16:51:00,Monterey Ridge Palm Desert,Beautiful 2 Bed/2 Bath Resort Style Condo In Palm Desert!!!,73268 Azure Rain #103,condo,2.0,2.5,1246.0,1749,https://palmsprings.craigslist.org/apa/d/palm-desert-beautiful-2-bed-2-bath/7159137647.html
2020-08-11 13:54:00,Bermuda Dunes,Perfect 2 bedroom 2 bath available now!!!,42780 Washington Street near Hidden River,apartment,2.0,2.0,1020.0,1245,https://palmsprings.craigslist.org/apa/d/palm-desert-perfect-2-bedroom-2-bath/7175653170.html
2020-08-11 11:15:00,Cathedral City,Desert Cove Gem,69333 E. Palm Canyon near Date Palm Dr.,other,1.0,1.0,500.0,1250,https://palmsprings.craigslist.org/apa/d/desert-hot-springs-desert-cove-gem/7175539092.html
2020-08-11 11:06:00,La Quinta Cove,Private paradise home in beautiful La Quinta near PGA West Golf Course,52280 AVENIDA MADERO near CALLE SONORA,house,3.0,2.0,1661.0,1995,https://palmsprings.craigslist.org/apa/d/la-quinta-private-paradise-home-in/7175532061.html
2020-08-10 18:48:00,Warm Sands,725 e San Lorenzo #2,725 e San Lorenzo near Random,apartment,1.0,1.0,850.0,1250,https://palmsprings.craigslist.org/apa/d/palm-springs-725-san-lorenzo-2/7175186880.html
2020-08-10 17:16:00,La Quinta,Welcome home to luxury living! Beautiful 1 Bed 1 Bath in La Quinta,43100 Palm Royale Dr,apartment,1.0,1.0,755.0,1420,https://palmsprings.craigslist.org/apa/d/la-quinta-welcome-home-to-luxury-living/7175146434.html
2020-08-10 12:19:00,Palm Springs,Rental - Sunrise Racquet Club Complex,1189 Ganador near Vista Chino,house,2.0,2.0,1250.0,1650,https://palmsprings.craigslist.org/apa/d/palm-springs-rental-sunrise-racquet/7159924486.html
